Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,Follow_MLS_Since,Why_Follow_MLS,MLS_Fan_Time,Favorite_MLS_team_ and_why,Favorite_Players,Watch_MLS games,Watch_MLS games_Others,MLS_Ticket_Plan,MLS_Season_Ticket_Price,MLS_Monthly_Ticket_Price,MLS_Single_Game_Ticket_Price,MLS_Ticket_Plan_Others,MLS_online_livestream_plan ,MLS_online_livestream_Season_Payment_Price,MLS_online_livestream_Monthly_Payment_Price,MLS_online_livestream_Single_Game_Payment_Price,MLS_online_livestream_plan_Other_Price,MLS_Improvements,MLS_Improvements.1,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income,Additional_Comments,Follow_Sports_Dummy,All_Sports,alpine skiing,baseball,basketball,boxing,curling,equestrain,figure skating,football,formula 1,golf,gymnastics,ice hockey,mma,sailing,skateboarding,soccer,swboarding,swimming,tennis,ufc,volleyball
100,682,0.899999976,,,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,4.0,1.0,,Rooting for local teams,,,,,,,,,,,,,,,,4,0,White or Caucasian,,Employed full-time,,1.0,,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,190,0.899999976,"others(please specify, and the answer can be more than one sport)","football, swboarding",,,,,,,,,,2.0,5.0,3.0,5.0,1.0,"Television broadcasts,Online news websites,Social media,Word of mouth (friends, family)",,1.0,2010.0,friends,4.0,,,Watch online livestreams,,,,,,,Others,,,,,"Lower ticket prices, Better marketing and promotion of MLS",,,,,,,,"MLB,NHL,NFL",,"Watch TV,Watch online livestreams",,,,,,,Others,,,,,2,0,Asian,,Employed full-time,,5.0,,1,"['others(please specify', 'and the answer can be more than one sport)', 'football', 'swboarding']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
100,300,0.899999976,"others(please specify, and the answer can be more than one sport)",football,,,,,,,,,,4.0,4.0,4.0,3.0,3.0,Television broadcasts,,0.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,5.0,,The diverse composition of MLS teams,,NFL,,Watch TV,,,,,,,,,,,,4,0,White or Caucasian,,Unemployed,,1.0,,1,"['others(please specify', 'and the answer can be more than one sport)', 'football']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100,180,0.699999988,ice hockey,,,,,,,,,,,5.0,4.0,4.0,3.0,2.0,"Television broadcasts,Online news websites",,0.0,,,,,,,,,,,,,,,,,,,,4.0,3.0,1.0,,"The fast-paced nature of MLS games,The diverse composition of MLS teams",,"NHL,NFL,PGA",,"Go to the court/stadium..., etc.,Watch TV",,Single Game Ticket,,,150,,,,,,,3,0,White or Caucasian,,Employed full-time,,6.0,,1,['ice hockey'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,263,0.899999976,ice hockey,,,,,,,,,,,5.0,3.0,5.0,5.0,4.0,"Online news websites,Social media",,1.0,2019.0,MLS looked very interesting. I also started following them because I started playing a Topps soccer collecting card game. ,2.0,I support D.C. United because they my local team. ,,Watch online livestreams,,,,,,,Others,,,,Watch for free on certain social media platforms. ,"Lower ticket prices, Enhanced stadium amenities and services, More interactive fan engagement activities, Better marketing and promotion of MLS",,,,,,,,NHL,,"Watch TV,Watch online livestreams",,,,,,,Others,,,,I use free social media online live streams to watch. ,1,0,White or Caucasian,,Student,,6.0,,1,['ice hockey'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
100,242,0.899999976,"others(please specify, and the answer can be more than one sport)","football, boxing, ufc",,,,,,,,,,2.0,3.0,3.0,3.0,3.0,"Online news websites,Social media,Word of mouth (friends, family)",,0.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,4.0,"Football, Boxing, UFC","Marketing and advertising campaigns,The fast-paced nature of MLS games,Other (please specify)",Attractive players,"NFL,Other, please specify","Boxing, UFC","Watch TV,Watch online livestreams",,,,,,,"Monthly Payment,Single Game Payment",,"DAZN, Hulu, Amazon Prime",DAZN,,3,0,White or Caucasian,,Other (please specify),Homemaker,2.0,,1,"['others(please specify', 'and the answer can be more than one sport)', 'football', 'boxing', 'ufc']",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
100,279,0.899999976,,,1.0,5.0,1.0,1.0,3.0,1.0,5.0,1.0,5.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,5.0,I just don't find sports that important with the problems in the world today.,Pure love of soccer,,,,,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,4.0,,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,340,0.899999976,"basketball,soccer",,,,,,,,,,,4.0,5.0,5.0,5.0,3.0,"Television broadcasts,Word of mouth (friends, family)",,1.0,2010.0,Husband is into it,4.0,No,I just root for whomever my husband is rooting for,Watch TV,,,,,,,,,,,,"Lower ticket prices, More interactive fan engagement activities, Better marketing and promotion of MLS, Increased accessibility to watch games (TV, online streaming)",,,,,,,,NBA,,"Watch TV,Watch online livestreams",,,,,,,"Season Payment,Monthly Payment,Single Game Payment,Others",$500,$75,$15,"Not sure how much it is totally, husband takes care of it",4,0,Asian,,Employed full-time,,5.0,"Yes, I'm not exactly sure how much the payments are. ",1,"['basketball', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,1188,0.899999976,soccer,,,,,,,,,,,2.0,3.0,3.0,2.0,3.0,"Television broadcasts,Online news websites,Social media",,1.0,2.0,3,2.0,miami,hedges,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Monthly Ticket,,,,,Single Game Payment,,,,," More interactive fan engagement activities, Better marketing and promotion of MLS",,,,,,,,NHL,,"Go to the court/stadium..., etc.,Watch TV",,Monthly Ticket,,,,,,,,,,4,0,White or Caucasian,,Employed full-time,,6.0,,1,['soccer'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,378,0.800000012,,,4.0,5.0,1.0,4.0,5.0,5.0,5.0,3.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,1.0,,"Rooting for local teams,The diverse composition of MLS teams",,,,,,,,,,,,,,,,2,Non-binary / third gender,Black or African American,,Employed full-time,,4.0,,0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,387,0.800000012,"basketball,baseball,soccer,others(please specify, and the answer can be more than one sport)",football,,,,,,,,,,5.0,5.0,5.0,4.0,5.0,"Television broadcasts,Online news websites",,1.0,2006.0,We got a club and i like socccer,4.0,NY Redbulls. Theiry Henry,Theiry Henry then.,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Single Game Ticket,,,25.0,,Season Payment,160,,,," Better marketing and promotion of MLS, Other (please specify)",The season is too long and ends in December. Just run along with the rest of the world then.,,,,,,,"MLB,NBA,NFL,Other, please specify",European Football,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Single Game Ticket,,,50,,Season Payment,300,,,,4,1,White or Caucasian,,Employed full-time,,5.0,That was interesting.,1,"['basketball', 'baseball', 'soccer', 'others(please specify', 'and the answer can be more than one sport)', 'football']",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
100,338,0.899999976,"baseball,soccer",,,,,,,,,,,5.0,5.0,5.0,4.0,3.0,"Television broadcasts,Online news websites,MLS official website or app",,1.0,2016.0,New England Revolution,3.0,Revolution as they're my local team,Messi is the GOAT!,Watch TV,,,,,,,,,,,,"Lower ticket prices, More interactive fan engagement activities, Increased accessibility to watch games (TV, online streaming)",,,,,,,,"MLB,NFL",,Watch TV,,,,,,,,,,,,3,1,White or Caucasian,,Employed full-time,,5.0,,1,"['baseball', 'soccer']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,390,0.899999976,"basketball,tennis,soccer",,,,,,,,,,,5.0,4.0,4.0,3.0,4.0,Online news websites,,1.0,2022.0,I was just curious how good it was compared to the Mexican League,2.0,,,Watch TV,,,,,,,,,,,, Better marketing and promotion of MLS,,,,,,,,NBA,,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Single Game Ticket,,,100,,Season Payment,35,,,,2,0,American Indian or Alaska Native,,Employed full-time,,3.0,,1,"['basketball', 'tennis', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
100,290,0.400000006,,,4.0,5.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,Figure skating ,Rooting for local teams,,"Other, please specify",Figure skating ,Watch online livestreams,,,,,,,Others,,,,Free,5,0,White or Caucasian,,Retired,,3.0,"Of all the main sports, I like soccer best. Before the pandemic I regularly went to a pub that supported the local men’s and women’s soccer teams, in Oregon and the games were on the big screen there. I enjoyed playing soccer in school, because I’m much better with my feet than with throwing anything. Without a nearby pub that does this since they closed during the pandemic and never opened again, I don’t have a social reason to watch. ",0,[],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,569,0.899999976,"others(please specify, and the answer can be more than one sport)",figure skating,,,,,,,,,,4.0,4.0,4.0,4.0,3.0,Online news websites,,0.0,,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,,Rooting for local teams,,NFL,,Watch TV,,,,,,,,,,,,3,0,Asian,,Employed part-time,,1.0,,1,"['others(please specify', 'and the answer can be more than one sport)', 'figure skating']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,126,0.899999976,"basketball,tennis,others(please specify, and the answer can be more than one sport)",football,,,,,,,,,,5.0,5.0,4.0,4.0,3.0,"Word of mouth (friends, family)",,0.0,,,,,,,,,,,,,,,,,,,,1.0,4.0,5.0,American Football,"Rooting for local teams,The fast-paced nature of MLS games",,"NBA,NFL",,Watch TV,,,,,,,,,,,,2,1,White or Caucasian,,Unemployed,,5.0,N/A; Thank you,1,"['basketball', 'tennis', 'others(please specify', 'and the answer can be more than one sport)', 'football']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
100,638,0.899999976,"baseball,soccer",,,,,,,,,,,4.0,4.0,3.0,4.0,4.0,"Online news websites,Social media",,1.0,1996.0,dad,4.0, Bayern Munchen-- this is who my dad supported,no,Watch online livestreams,,,,,,,Monthly Payment,,25,,," More interactive fan engagement activities, Better marketing and promotion of MLS, Increased accessibility to watch games (TV, online streaming)",,,,,,,,MLB,,Watch TV,,,,,,,,,,,,5,0,White or Caucasian,,Employed full-time,,3.0,,1,"['baseball', 'soccer']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,889,0.800000012,"basketball,baseball,soccer",,,,,,,,,,,5.0,5.0,5.0,5.0,4.0,"Television broadcasts,Online news websites,Word of mouth (friends, family)",,1.0,2018.0,friends watch MLS,2.0,houston dynamo,Héctor Herrera,"Watch TV,Watch online livestreams",,,,,,,Season Payment,79,,,," Enhanced stadium amenities and services, Better marketing and promotion of MLS, Increased accessibility to watch games (TV, online streaming)",,,,,,,,"NBA,NFL",,"Watch TV,Watch online livestreams",,,,,,,Season Payment,80,,,,3,1,White or Caucasian,,Employed full-time,,2.0,,1,"['basketball', 'baseball', 'soccer']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,715,0.899999976,"basketball,tennis,soccer",,,,,,,,,,,4.0,4.0,5.0,5.0,5.0,"Television broadcasts,Social media,MLS official website or app",,1.0,2020.0,updates,2.0,dc united,,"Watch TV,Watch online livestreams",,,,,,,"Season Payment,Monthly Payment",99.99,19,,,"Lower ticket prices, Better marketing and promotion of MLS",,,,,,,,NBA,,"Watch TV,Watch online livestreams",,,,,,,Season Payment,99,,,,3,1,White or Caucasian,,Employed full-time,,3.0,,1,"['basketball', 'tennis', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
100,769,0.300000012,"soccer,others(please specify, and the answer can be more than one sport)",football,,,,,,,,,,1.0,2.0,3.0,3.0,2.0,"Television broadcasts,Online news websites,Word of mouth (friends, family)",,1.0,2020.0,kids got into soccer,2.0,Chicago Fire -local team,,"Go to the court/stadium..., etc.,Watch TV",,Single Game Ticket,,,20.0,,,,,,," Enhanced stadium amenities and services, Increased accessibility to watch games (TV, online streaming)",,,,,,,,"MLB,NFL",,"Go to the court/stadium..., etc.,Watch TV",,Single Game Ticket,,,50,,,,,,,3,1,White or Caucasian,,Employed full-time,,6.0,,1,"['soccer', 'others(please specify', 'and the answer can be more than one sport)', 'football']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
100,497,0.899999976,"basketball,ice hockey,soccer",,,,,,,,,,,4.0,4.0,4.0,3.0,4.0,Social media,,1.0,3.0,updates,2.0,,,"Go to the court/stadium..., etc.,Watch TV",,Season Ticket,99.0,,,,,,,,," More interactive fan engagement activities, Better marketing and promotion of MLS",,,,,,,,,,,,,,,,,,,,,,2,1,White or Caucasian,,Employed full-time,,3.0,,1,"['basketball', 'ice hockey', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
100,1264,0.899999976,basketball,,,,,,,,,,,2.0,1.0,4.0,4.0,1.0,Social media,,0.0,,,,,,,,,,,,,,,,,,,,5.0,2.0,1.0,I stopped watching sport.,Other (please specify),family members involvement,NBA,,"Other, please specify",YouTube recaps,,,,,,,,,,,4,1,Black or African American,,Employed part-time,,1.0,,1,['basketball'],0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,2124,0.300000012,"basketball,tennis,soccer",,,,,,,,,,,5.0,5.0,5.0,4.0,5.0,"Television broadcasts,Social media,Word of mouth (friends, family),MLS official website or app",,1.0,9.0,Love the atmosphere,3.0,,walker,"Go to the court/stadium..., etc.,Watch TV",,Monthly Ticket,,8.0,,,,,,,," Enhanced stadium amenities and services, More interactive fan engagement activities",,,,,,,,"NBA,NHL,NFL,PGA",,"Go to the court/stadium..., etc.,Watch TV,Watch online livestreams",,Season Ticket,360.0,,,,Monthly Payment,,15,,,2,1,Black or African American,,Employed part-time,,5.0,,1,"['basketball', 'tennis', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
100,2144,0.699999988,"basketball,ice hockey,tennis,soccer",,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,"Online news websites,Social media,Word of mouth (friends, family),MLS official website or app",,1.0,11.0,Because of the entertainment ,4.0,Los Angeles Football Club,MESSI,Watch online livestreams,,,,,,,Monthly Payment,,10,,," More interactive fan engagement activities, Increased accessibility to watch games (TV, online streaming)",,,,,,,,"NBA,NHL,NFL",,Watch TV,,,,,,,,,,,,2,1,Black or African American,,Employed part-time,,5.0,,1,"['basketball', 'ice hockey', 'tennis', 'soccer']",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
100,15878,0.899999976,"basketball,baseball",,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,"Television broadcasts,Online news websites,Social media",,0.0,,,,,,,,,,,,,,,,,,,,1.0,5.0,3.0,baseball/basketball/football,The fast-paced nature of MLS games,,"MLB,NBA,NFL",,Watch TV,,,,,,,,,,,,2,1,Other,Latino,Unemployed,,3.0,,1,"['basketball', 'baseball']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
