Progress,Duration,Q_RecaptchaScore,Follow_Sports,Follow_Sports_Others,Special_Events,Freind_Family_Invitation,Famous_Player,Storyline_Rivalry,Halftime_Entertainment_Or_Shows,Lack_of_Interest_in_Sports,Time_Consuming,Rules_Complicated,No_Introduces,Matches_Excitement,Supporting_Favorite_Team,Specific_Players,Community_Camaraderie,Sports_Related_Content_n_News_Engagement,Info_about_MLS,Info_about_MLS_Others,Follow_MLS_or_not,Follow_MLS_Since,Why_Follow_MLS,MLS_Fan_Time,Favorite_MLS_team_ and_why,Favorite_Players,Watch_MLS games,Watch_MLS games_Others,MLS_Ticket_Plan,MLS_Season_Ticket_Price,MLS_Monthly_Ticket_Price,MLS_Single_Game_Ticket_Price,MLS_Ticket_Plan_Others,MLS_online_livestream_plan ,MLS_online_livestream_Season_Payment_Price,MLS_online_livestream_Monthly_Payment_Price,MLS_online_livestream_Single_Game_Payment_Price,MLS_online_livestream_plan_Other_Price,MLS_Improvements,MLS_Improvements.1,No_MLS_Lack_of_interest_in _sports,No_MLS_Unfamiliar_with_rules_of_soccer,No_MLS_have_other_preferred _sports,No_MLS_have_other_preferred _sports_name,Potential_Reason_to_MLS,Potential_Reason_to_MLS_Others,Watch_Other_Pro_Sports,Other_Watch_Other_Pro_Sports,How_Watch_Other_Pro_Sports,Other_How_Watch_Other_Pro_Sports,Other_Ticket_Plan,Other_Ticket_Plan_Season_Ticket_Price,Other_Ticket_Plan_Monthly_Ticke_Price,Other_Ticket_Plan_Single_Game_Ticket_Price,Other_Ticket_Plan_Others,Other_online_livestream_plan,Other_online_livestream_plan_Season_Payment_Price,Other_online_livestream_plan_Montly_Payment_Price,Other_online_livestream_plan_Single_Game_Payment_Price,Other_online_livestream_plan_Others_Price,Age,Gender,Ethnicity,Ethnicity_Other,Employment_Status,Employment_Status_Other,Annual_Household_Income,Additional_Comments,Follow_Sports_Dummy,All_Watching_Source,",",",go to the court/stadium..., etc.,watch tv",",go to the court/stadium..., etc.,watch tv,watch online livestreams",",other, please specify",",watch online livestreams",",watch tv",",watch tv,other, please specify",",watch tv,watch online livestreams","go to the court/stadium..., etc.,go to the court/stadium..., etc.","go to the court/stadium..., etc.,watch tv,","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch online livestreams","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch tv","go to the court/stadium..., etc.,watch tv,go to the court/stadium..., etc.,watch tv,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch online livestreams,go to the court/stadium..., etc.,watch tv","go to the court/stadium..., etc.,watch tv,watch online livestreams,go to the court/stadium..., etc.,watch tv,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch online livestreams,watch online livestreams","go to the court/stadium..., etc.,watch tv,watch tv","go to the court/stadium..., etc.,watch tv,watch tv,watch online livestreams","other, please specify,","watch online livestreams,","watch online livestreams,watch online livestreams","watch online livestreams,watch tv","watch online livestreams,watch tv,watch online livestreams","watch tv,go to the court/stadium..., etc.,watch tv","watch tv,go to the court/stadium..., etc.,watch tv,watch online livestreams","watch tv,watch online livestreams,","watch tv,watch online livestreams,watch online livestreams","watch tv,watch online livestreams,watch tv","watch tv,watch online livestreams,watch tv,watch online livestreams","watch tv,watch tv","watch tv,watch tv,watch online livestreams"
100,87,0.899999976,No,,4.0,4.0,2.0,2.0,3.0,4.0,3.0,2.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,4.0,2.0,1.0,,Rooting for local teams,,None,,,,,,,,,,,,,,4,0,White or Caucasian,,Employed full-time,,4.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,178,0.699999988,Baseball,,,,,,,,,,,2.0,3.0,2.0,3.0,2.0,social media,,0.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,2.0,,The fast-paced nature of MLS games,,NBA,,watch tv,,,,,,,,,,,,2,1,White or Caucasian,,Employed part-time,,5.0,,1,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,149,0.899999976,No,,4.0,4.0,2.0,4.0,4.0,2.0,4.0,2.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,1.0,,Other (please specify),curiosity about what the fuss is all about,NFL,,watch tv,,,,,,,,,,,,5,0,White or Caucasian,,Other (please specify),self employed,2.0,,0,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,166,0.699999988,Tennis,,,,,,,,,,,2.0,1.0,2.0,1.0,3.0,social media,,0.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,3.0,,"Rooting for local teams,The fast-paced nature of MLS games",,"NBA,PGA",,watch tv,,,,,,,,,,,,2,0,Black or African American,,Employed full-time,,5.0,,1,",watch tv",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,175,0.899999976,"Basketball,Baseball,Soccer,Others(Please specify, and the answer can be more than one sport)","Football, curling",,,,,,,,,,4.0,4.0,4.0,3.0,3.0,social media,,0.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,5.0,basketball and football mostly,"Rooting for local teams,Other (please specify)",The talent concentration in the league,"NBA,NFL",,"go to the court/stadium..., etc.,watch tv,watch online livestreams",,Single Game Ticket,,,80,,Monthly Payment,,70/month for YouTube TV,,,2,1,White or Caucasian,,Employed full-time,,6.0,,1,",go to the court/stadium..., etc.,watch tv,watch online livestreams",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,191,0.899999976,Basketball,,,,,,,,,,,5.0,5.0,5.0,4.0,4.0,"television broadcasts,online news websites,social media",,0.0,,,,,,,,,,,,,,,,,,,,3.0,5.0,5.0,"NFL, F1",The fast-paced nature of MLS games,,NFL,,"watch tv,watch online livestreams",,,,,,,Season Payment,$10,,,,4,1,White or Caucasian,,Unemployed,,2.0,,1,",watch tv,watch online livestreams",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,89,0.899999976,No,,4.0,4.0,1.0,1.0,4.0,5.0,5.0,1.0,1.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,5.0,3.0,3.0,,Rooting for local teams,,None,,,,,,,,,,,,,,3,0,White or Caucasian,,Unemployed,,4.0,,0,",",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,179,0.899999976,"Others(Please specify, and the answer can be more than one sport)",boxing,,,,,,,,,,5.0,4.0,4.0,3.0,2.0,social media,,0.0,,,,,,,,,,,,,,,,,,,,5.0,2.0,5.0,,The fast-paced nature of MLS games,,"Other, please specify",boxing,"watch tv,watch online livestreams",,,,,,,Season Payment,11.99,,,,4,1,White or Caucasian,,Employed full-time,,5.0,,1,",watch tv,watch online livestreams",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,159,0.5,"Others(Please specify, and the answer can be more than one sport)","Football, sailing",,,,,,,,,,2.0,2.0,2.0,2.0,4.0,social media,,0.0,,,,,,,,,,,,,,,,,,,,4.0,1.0,4.0,"Football, sailing",Rooting for local teams,,NFL,,"go to the court/stadium..., etc.,watch tv",,Single Game Ticket,,,80,,,,,,,2,1,White or Caucasian,,Employed full-time,,2.0,,1,",go to the court/stadium..., etc.,watch tv",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,189,0.899999976,Soccer,,,,,,,,,,,4.0,4.0,3.0,5.0,3.0,other (please specify),Radio,1.0,2003.0,Living in DC and having friends that went to DC United games.,4.0,DC United,,"other, please specify",Youtube highlights,,,,,,,,,,," Enhanced stadium amenities and services, Other (please specify)",Higher quality games,,,,,,,None,,,,,,,,,,,,,,4,1,White or Caucasian,,Employed full-time,,6.0,,1,"other, please specify,",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
